species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Pedicularis tristis;NA;JN252807;KT022688;NA;KT022868;NA;NA;NA;NA;JN252895;KT022983
Pedicularis tsangchanensis;NA;KT022515;KT022689;NA;KT022869;NA;NA;NA;NA;NA;KT022984
Pedicularis tsarungensis;NA;KT022516;NA;NA;KT022870;NA;NA;NA;NA;NA;KT022985
Pedicularis tsekouensis;NA;JF977770;JF955359;NA;JF943254;NA;NA;NA;NA;NA;KF277756
Pedicularis tuberosa;NA;HG424232;KC542176;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis uliginosa;NA;KY069326;HG424051;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis umbelliformis;NA;JF977773;JF955362;NA;KR707774;NA;NA;NA;NA;NA;KF277757
Pedicularis uralensis;NA;HG424234;HG424052;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis urceolata;NA;HG424235;JF955364;NA;JF943258;NA;NA;NA;NA;JN252896;AY881132
Pedicularis vagans;NA;KT022517;KT022690;NA;KT022871;NA;NA;NA;NA;NA;KT022986
Pedicularis variegata;NA;JF977780;JF955369;NA;JF943263;NA;NA;NA;NA;NA;KF277759
Pedicularis venusta;NA;KY069301;HG424054;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis verbenifolia;NA;KT022518;KT022691;NA;KT022872;NA;NA;NA;NA;NA;KT022987
Pedicularis veronicifolia;NA;KF277600;KT022692;NA;KT022873;NA;NA;NA;NA;NA;KF277760
Pedicularis verticillata;NA;AY596818;HG424055;NA;KF602154;D88105;NA;NA;KX180111;EU348857;DQ839432
Pedicularis vialii;NA;JF977782;JF955372;NA;JF943266;NA;NA;NA;NA;NA;KF277765
Pedicularis villosa;NA;HG424238;HG424056;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis violascens;NA;HG424240;HG424058;NA;KT022875;NA;NA;NA;KX180110;NA;KT022989
Pedicularis waldheimii;NA;HG424241;HG424059;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis wanghongiae;NA;KR707796;KR707771;NA;KR707786;NA;NA;NA;NA;NA;KR707810
Pedicularis yezoensis;NA;AY949683;AB280531;NA;NA;AB110928;NA;AB280511;NA;NA;AB110918
Pedicularis yui;NA;KR707799;KR707756;NA;KR707776;NA;NA;NA;NA;NA;KR707811
Pedicularis yunnanensis;NA;KR707800;KR707761;NA;KR707779;NA;NA;NA;NA;NA;KR707812
Peliostomum leucorrhizum;NA;NA;NA;NA;NA;NA;NA;NA;NA;AJ609152;AJ608577
Peltanthera floribunda;NA;KY858417;NA;NA;NA;NA;NA;NA;NA;AJ431041;AJ430916
Peltodon pusillus;NA;JF301518;JF357893;NA;NA;NA;NA;NA;NA;NA;JF357768
Peltodon tomentosus;NA;JF301521;JF357892;NA;NA;NA;NA;NA;NA;NA;JF357780
Pennellianthus frutescens;NA;AF375156;AF375194;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon albertinus;NA;DQ531055;NA;NA;MG221584;NA;NA;NA;NA;NA;NA
Penstemon albidus;NA;DQ531056;NA;NA;MG223003;NA;NA;NA;NA;NA;NA
Penstemon angustifolius;NA;DQ531059;KT176610;KT176850;KT178128;NA;NA;NA;NA;NA;NA
Penstemon australis;NA;MF349013;MF349848;NA;MF349572;NA;NA;NA;NA;NA;NA
Penstemon azureus;NA;AF375178;AF375216;NA;NA;NA;NA;NA;KF364582;NA;NA
Penstemon barbatus;NA;KX061043;AF375215;NA;JN796945;NA;NA;NA;NA;NA;NA
Penstemon barrettiae;NA;AY195634;AY195643;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon calycosus;NA;MG219460;NA;NA;MG223708;NA;NA;NA;NA;NA;NA
Penstemon cardwellii;NA;AY195641;AY195650;NA;NA;NA;NA;NA;KF364597;NA;NA
Penstemon centranthifolius;NA;AF343539;NA;NA;NA;NA;NA;NA;NA;NA;AF034883
Penstemon confertus;NA;DQ534934;NA;NA;MG224560;NA;NA;NA;NA;NA;NA
Penstemon davidsonii;NA;AF375173;AF375211;NA;MG222948;NA;NA;NA;NA;NA;NA
Penstemon debilis;NA;AF375180;AF375218;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon deustus;NA;AF375182;AF375220;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon digitalis;NA;DQ531083;MG224978;NA;HQ590202;NA;NA;NA;NA;NA;NA
Penstemon dissectus;NA;DQ534937;AF375221;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon ellipticus;NA;AF375168;AF375206;NA;MG221930;NA;NA;NA;NA;NA;NA
Penstemon eriantherus;NA;MG219338;MG225183;NA;MG223558;NA;NA;NA;NA;NA;NA
Penstemon filiformis;NA;NA;NA;NA;NA;NA;NA;NA;KF364581;NA;NA
Penstemon fruticosus;NA;AF375171;AF375209;NA;MG222803;NA;NA;NA;NA;NA;NA
Penstemon gormanii;NA;DQ531100;NA;NA;MG221935;NA;NA;NA;NA;NA;NA
Penstemon gracilis;NA;DQ531102;KT176611;KT176851;KT178129;NA;NA;NA;NA;KX037412;KX061029
Penstemon grandiflorus;NA;DQ534939;MK520392;NA;MK526308;NA;NA;NA;NA;NA;NA
Penstemon heterophyllus;NA;AF375181;AF375219;NA;NA;NA;NA;NA;KF364580;NA;NA
Penstemon hirsutus;NA;DQ531111;NA;NA;MG224547;NA;NA;NA;NA;NA;NA
Penstemon laetus;NA;NA;NA;NA;NA;NA;NA;NA;KF364577;NA;NA
Penstemon lyallii;NA;AF375170;AF375208;NA;MG223585;NA;NA;NA;NA;NA;NA
Penstemon montanus;NA;AF375169;AF375207;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon multiflorus;NA;DQ531130;MH551708;NA;KJ773732;NA;NA;NA;NA;NA;NA
Penstemon neotericus;NA;DQ531132;NA;NA;NA;NA;NA;NA;KF364584;NA;NA
Penstemon nitidus;NA;DQ531134;NA;NA;MG223244;NA;NA;NA;NA;NA;NA
Penstemon ovatus;NA;DQ531138;NA;NA;MG223619;NA;NA;NA;NA;NA;NA
Penstemon pallidus;NA;DQ531141;MK520393;NA;MG221323;NA;NA;NA;NA;NA;NA
Penstemon palmeri;NA;DQ531142;NA;NA;NA;NA;NA;NA;NA;NA;AF034884
Penstemon parvulus;NA;DQ531144;NA;NA;NA;NA;NA;NA;KF364586;NA;NA
Penstemon peckii;NA;AF375174;AF375212;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon personatus;NA;AF375184;AF375222;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon pinifolius;NA;AF375175;AF375213;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon procerus;NA;KX061039;KX677125;NA;JX848482;NA;NA;NA;NA;KX037402;KX061023
Penstemon pruinosus;NA;DQ471679;NA;NA;MG224679;NA;NA;NA;NA;NA;NA
Penstemon richardsonii;NA;DQ534944;NA;NA;MG223372;NA;NA;NA;NA;NA;NA
Penstemon rostriflorus;NA;AF375176;AF375214;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon rupicola;NA;AF375172;AF375210;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon serrulatus;NA;DQ531170;KX677260;NA;MG223640;NA;NA;NA;NA;NA;NA
Penstemon speciosus;NA;AF375179;AF375217;NA;NA;NA;NA;NA;NA;NA;NA
Penstemon tubiflorus;NA;KX061045;MK520394;NA;MG223701;NA;NA;NA;NA;NA;NA
Penstemon whippleanus;NA;AY492117;NA;NA;KX037387;NA;NA;NA;NA;AY492221;AF034866
Pentacoelium bontioides;MN044642;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pentapleura subulifera;NA;GU381449;NA;NA;NA;NA;NA;NA;NA;NA;GU381625
Peplidium aithocheilum;NA;AF478938;NA;NA;NA;NA;NA;NA;NA;NA;AF479002
Peplidium foecundum;NA;AY943132;NA;NA;NA;NA;NA;NA;NA;NA;AY943158
Peplidium maritimum;NA;AY943139;NA;NA;NA;NA;NA;NA;NA;NA;AY943164
Perianthomega vellozoi;NA;NA;NA;DQ222619;NA;NA;NA;NA;MG831838;NA;FJ870051
Perilla frutescens;KT220690;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Perilla setoyensis;KT220691;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Perillula reptans;NA;KT210249;KY624913;NA;KY624982;NA;NA;NA;KT210281;NA;KT210333
Peristrophe brassii;NA;KY632618;NA;NA;NA;NA;KY632424;NA;NA;NA;NA
Peristrophe hyssopifolia;NA;KY632619;NA;NA;NA;NA;KY632425;NA;NA;EU529052;AF063129
Peristrophe japonica;NA;KP744341;NA;NA;NA;NA;NA;NA;NA;KP744213;KP744177
Peristrophe speciosa;NA;NA;NA;NA;NA;NA;KY632423;NA;NA;NA;NA
Peronema canescens;NA;FM200100;NA;KF509866;NA;NA;NA;NA;NA;NA;NA
Petalidium oblongifolium;NA;KR230974;NA;NA;JQ933440;NA;NA;NA;KR230933;NA;NA
Petraeovitex multiflora;NA;FM200101;NA;KF509864;MG836340;NA;NA;NA;NA;NA;MG836398
Petraeovitex wolfei;NA;NA;NA;KT210256;KT210259;NA;NA;NA;NA;NA;NA
Petrea volubilis;NA;DQ070733;FJ514600;FJ887872;NA;NA;NA;NA;NA;NA;HM216655
Petrocodon ainsliifolius;NA;KF202291;NA;NA;NA;NA;NA;NA;NA;NA;KF202298
Petrocodon coriaceifolius;NA;KY796058;KJ137895;NA;NA;NA;NA;NA;NA;NA;KY796060
Petrocodon ferrugineus;NA;HQ633043;NA;NA;NA;NA;NA;NA;NA;NA;HQ632946
Petrocodon hancei;NA;KF498051;KX526644;KX526829;KX527422;KY393842;NA;NA;KF498363;NA;KF498253
Petrocodon hechiensis;NA;KR337018;NA;NA;KX527357;NA;NA;NA;NA;NA;KR476563
Petrocodon hispidus;NA;KF202293;NA;NA;NA;NA;NA;NA;NA;NA;KF202300
Petrocodon jingxiensis;NA;NA;NA;NA;KX527414;NA;NA;NA;NA;NA;NA
Petrocodon lithophilus;NA;KF202295;NA;NA;NA;NA;NA;NA;NA;NA;KF202302
Petrocodon lui;NA;NA;NA;NA;KX527415;NA;NA;NA;NA;NA;NA
Petrocodon multiflorus;NA;KJ475411;NA;NA;NA;NA;NA;NA;NA;NA;KM232660
Petrocodon pulchriflorus;NA;KX579058;NA;NA;NA;NA;NA;NA;NA;NA;KX579059
Petrocodon retroflexus;NA;KX579060;NA;NA;NA;NA;NA;NA;NA;NA;KX579061
Petrocodon scopulorus;NA;KR337023;NA;NA;KX527350;NA;NA;NA;NA;NA;KR476567
Petrocodon tiandengensis;NA;JX506960;NA;NA;NA;NA;NA;NA;NA;NA;JX506850
Petrocodon viridescens;NA;HQ633036;NA;NA;NA;NA;NA;NA;NA;NA;HQ632939
Petrocosmea barbata;NA;KR006475;KR006438;NA;NA;NA;NA;NA;NA;KR006491;KR006351
Petrocosmea begoniifolia;NA;KR006482;KR006456;NA;NA;NA;NA;NA;NA;KR006494;KR006361
Petrocosmea cavaleriei;NA;KR006476;KR006440;NA;NA;NA;NA;NA;NA;KR006487;KR006372
Petrocosmea coerulea;NA;KR006483;KR006457;NA;NA;NA;NA;NA;NA;KR006492;KR006355
Petrocosmea duclouxii;NA;KR006478;KR006458;NA;NA;NA;NA;NA;NA;KR006498;KR006360
Petrocosmea flaccida;NA;KR006471;KR006443;U62184;NA;NA;NA;NA;NA;KR006517;KR006363
Petrocosmea forrestii;NA;KR006464;KR006445;NA;NA;NA;NA;NA;NA;KR006520;KR006365
Petrocosmea grandiflora;NA;KR006467;KR006454;NA;NA;NA;NA;NA;NA;KR006504;KR006373
Petrocosmea grandifolia;NA;JN092439;JN092541;NA;NA;NA;NA;NA;NA;KR006507;JN092472
Petrocosmea hexiensis;NA;KR006469;KR006461;NA;NA;NA;NA;NA;NA;KR006497;KR006359
Petrocosmea huanjiangensis;NA;KR006484;KR006448;NA;NA;NA;NA;NA;NA;KR006503;KR006367
Petrocosmea iodioides;NA;JN092440;JN092542;NA;NA;NA;NA;NA;NA;KR006513;JN092473
Petrocosmea longianthera;NA;JN092410;JN092527;NA;NA;NA;NA;NA;NA;KR006514;JN092461
Petrocosmea longipedicellata;NA;KR006474;KR006439;NA;NA;NA;NA;NA;NA;KR006490;KR006352
Petrocosmea mairei;NA;KR006465;KR006447;NA;NA;NA;NA;NA;NA;KR006519;KR006366
Petrocosmea melanophthalma;NA;KR006481;KR006449;NA;NA;NA;NA;NA;NA;KR006493;KR006356
Petrocosmea menglianensis;NA;JN092444;JN092546;NA;NA;NA;NA;NA;NA;KR006506;JN092477
Petrocosmea minor;NA;JN092445;JN092547;NA;NA;NA;NA;NA;NA;KR006515;FJ501504
Petrocosmea nervosa;NA;JN092446;JN092548;NA;NA;AJ490912;NA;NA;NA;KR006523;AJ492299
Petrocosmea oblata;NA;GU350661;JN092549;NA;NA;NA;NA;NA;NA;KR006518;GU350692
Petrocosmea parryorum;NA;KR006463;KR006453;NA;NA;NA;NA;NA;NA;KR006508;KR006354
Petrocosmea qinlingensis;NA;KR006470;KR006446;NA;NA;NA;NA;NA;NA;KR006521;KR006364
Petrocosmea rosettifolia;NA;KR006473;KR006455;NA;NA;NA;NA;NA;NA;KR006510;KR006369
Petrocosmea sericea;NA;JN092434;JN092540;NA;NA;NA;NA;NA;NA;KR006500;JN092469
Petrocosmea shilinensis;NA;KR006486;KR006450;NA;NA;NA;NA;NA;NA;KR006511;KR006370
Petrocosmea sichuanensis;NA;KR006480;KR006459;NA;NA;NA;NA;NA;NA;KR006496;KR006358
Petrocosmea sinensis;NA;GU350660;JN092550;NA;NA;NA;NA;NA;NA;KR006522;GU350691
Petrocosmea xanthomaculata;NA;KR006477;KR006441;NA;NA;NA;NA;NA;NA;KR006488;KR006374
Petrocosmea xingyiensis;NA;KR006485;KR006451;NA;NA;NA;NA;NA;NA;KR006502;KR006368
Petrocosmea yanshanensis;NA;JN092432;JN092535;NA;NA;NA;NA;NA;NA;KR006499;JN092464
Phacellanthus tubiflorus;NA;KY514235;KY706625;NA;NA;NA;NA;NA;NA;NA;NA
Phaulopsis imbricata;NA;KR230975;NA;NA;NA;NA;NA;NA;KR230934;KC420531;KC420617
Pheidonocarpa corymbosa;NA;AY702388;NA;NA;NA;NA;NA;NA;NA;NA;AY702431
Philcoxia bahiensis;NA;NA;NA;NA;NA;NA;NA;MH129686;NA;MH129638;MH129734
Philcoxia courensis;NA;NA;NA;NA;NA;NA;NA;MH129689;NA;MH129639;MH129737
Philcoxia goiasensis;NA;NA;NA;NA;NA;NA;NA;MH129693;NA;MH129642;MH129742
Philcoxia maranhensis;NA;NA;NA;NA;NA;NA;NA;MH129696;NA;MH129647;MH129745
Philcoxia minensis;NA;EF467895;EF467901;EF467912;EF467907;NA;NA;MH129698;NA;MH129652;EF467889
Philcoxia rhizomatosa;NA;NA;NA;NA;NA;NA;NA;MH129701;NA;MH129654;MH129750
Philcoxia tuberosa;NA;NA;NA;NA;NA;NA;NA;MH129702;NA;MH129655;MH129751
Phillyrea angustifolia;MH817935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phillyrea latifolia;MH817936;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phinaea albolineata;NA;AY702389;JX196055;NA;NA;KU991222;NA;GQ383655;NA;GQ383612;AY702432
Phlogacanthus curviflorus;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phlomidoschema parviflorum;NA;KF529546;HQ911546;NA;NA;NA;NA;NA;NA;FJ854062;FJ854293
Phlomis angustissima;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993073;GU993169
Phlomis anisodonta;NA;JN680363;JN680465;NA;NA;NA;NA;NA;JN680420;GU993074;GU993171
Phlomis armeniaca;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993078;GU993174
Phlomis aurea;NA;NA;NA;NA;KY794564;NA;NA;NA;NA;GU993081;GU993177
Phlomis bourgaei;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993083;GU993179
Phlomis bovei;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993085;GU993181
Phlomis brevibracteata;NA;KP828804;NA;NA;NA;NA;NA;NA;NA;GU993087;GU993183
Phlomis bruguieri;NA;JN680366;JN680468;NA;NA;NA;NA;NA;JN680423;GU993089;GU993185
Phlomis cancellata;NA;KY088279;NA;NA;NA;NA;NA;NA;NA;GU993090;GU993186
Phlomis capitata;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993091;GU993187
Phlomis cashmeriana;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993092;GU993188
Phlomis chrysophylla;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993095;GU993191
Phlomis cretica;NA;KP828807;HQ902705;NA;HQ902764;NA;NA;NA;NA;GU993096;GU993192
Phlomis crinita;NA;AY792818;NA;NA;NA;NA;NA;NA;NA;GU993098;GU993194
Phlomis elliptica;NA;JN680365;JN680467;NA;NA;NA;NA;NA;JN680422;NA;NA
Phlomis floccosa;NA;EU827091;NA;NA;NA;NA;NA;EU827146;NA;GU993102;EU827133
Phlomis fruticosa;NA;KP828810;HQ911475;NA;KM360928;NA;NA;EU827151;JN680421;GU993104;EU827120
Phlomis grandiflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993106;GU993203
Phlomis herba-venti;NA;JN680367;JN680469;NA;NA;NA;NA;NA;JN680424;GU993109;GU993205
Phlomis italica;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993110;GU993207
Phlomis lanata;NA;KP828812;NA;NA;NA;NA;NA;NA;NA;GU993115;GU993211
Phlomis lanceolata;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993114;GU993210
Phlomis leucophracta;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993116;GU993212
Phlomis linearis;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993117;GU993213
Phlomis longifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993118;GU993215
Phlomis lunariifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993120;GU993216
Phlomis lychnitis;NA;AY792791;NA;NA;NA;NA;NA;NA;NA;GU993124;GU993220
Phlomis lycia;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993126;GU993222
Phlomis monocephala;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993132;GU993228
Phlomis nissolii;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993134;GU993230
Phlomis platystegia;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993136;GU993232
Phlomis purpurea;NA;AY792819;HQ911476;NA;NA;NA;NA;EU827147;NA;GU993142;EU827134
Phlomis rigida;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993144;GU993240
Phlomis russeliana;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993146;GU993242
Phlomis samia;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993149;GU993245
Phlomis tenorei;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993153;GU993249
Phlomis viscosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993163;GU993258
Phlomoides adylovii;NA;JN680374;JN680475;NA;NA;NA;NA;NA;JN680428;NA;NA
Phlomoides ajdarovae;NA;JN680406;JN680502;NA;NA;NA;NA;NA;JN680455;NA;NA
Phlomoides alpina;NA;NA;NA;NA;NA;NA;NA;EU827168;NA;GU993072;EU827129
Phlomoides atropurpurea;NA;EU827097;NA;NA;NA;NA;NA;EU827156;NA;GU993079;EU827118
Phlomoides bracteosa;NA;JN680373;JN680474;NA;NA;NA;NA;NA;JN680427;NA;NA
Phlomoides breviflora;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993088;GU993184
Phlomoides canescens;NA;JN680381;JN680479;NA;NA;NA;NA;NA;JN680432;NA;NA
Phlomoides franchetiana;NA;EU827105;NA;NA;NA;NA;NA;EU827158;NA;NA;EU827140
Phlomoides hamosa;NA;JN680370;HQ911477;NA;NA;NA;NA;NA;NA;NA;NA
Phlomoides jeholensis;NA;NA;NA;NA;HQ839676;NA;NA;NA;NA;GU993112;GU993208
Phlomoides korovinii;NA;JN680409;JN680503;NA;NA;NA;NA;NA;JN680457;NA;NA
Phlomoides macrophylla;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993127;GU993223
Phlomoides mazzettii;NA;EU827109;NA;NA;NA;NA;NA;EU827163;NA;NA;EU827139
Phlomoides medicinalis;NA;JN680408;MF786940;NA;NA;NA;NA;NA;NA;NA;NA
Phlomoides melanantha;NA;JN680377;JN680477;NA;JQ933445;NA;NA;NA;JN680430;NA;NA
Phlomoides milkoi;NA;JN680410;JN680504;NA;NA;NA;NA;NA;JN680458;NA;NA
Phlomoides mongolica;NA;NA;NA;NA;HM590103;NA;NA;NA;NA;GU993133;GU993229
Phlomoides oreophila;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993135;GU993231
Phlomoides ornata;NA;EU827104;NA;NA;NA;NA;NA;EU827167;NA;NA;EU827126
Phlomoides pratensis;NA;JN680380;JN680478;NA;MF158730;NA;NA;NA;JN680431;NA;NA
Phlomoides rotata;NA;JN680371;HQ911479;NA;NA;NA;NA;NA;JN680425;NA;NA
Phlomoides ruptilis;NA;MH117645;NA;NA;MH116295;NA;NA;EU827149;NA;NA;EU827128
Phlomoides sewerzovii;NA;JN680372;HQ911482;NA;NA;NA;NA;NA;JN680426;NA;NA
Phlomoides strigosa;NA;EU827110;NA;NA;NA;NA;NA;EU827162;NA;NA;EU827125
Phlomoides tatsienensis;NA;EU827103;NA;NA;NA;NA;NA;EU827153;NA;NA;NA
Phlomoides tuberosa;NA;JN680375;HQ911481;NA;NA;NA;NA;NA;JN680429;NA;NA
Phlomoides umbrosa;NA;EU827108;NA;NA;KT845952;NA;NA;EU827166;NA;NA;EU827130
Phlomoides urodonta;NA;NA;NA;NA;NA;NA;NA;NA;NA;GU993161;GU993257
Phlomoides vavilovii;NA;JN680405;JN680501;NA;NA;NA;NA;NA;JN680454;NA;NA
Phryma leptostachya;MK381317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phtheirospermum japonicum;MN075943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phygelius capensis;NA;MH766982;HQ384531;AJ617608;KM360931;NA;NA;NA;NA;HQ385170;AJ608575
Phyla canescens;NA;HM193938;NA;HM216764;NA;NA;NA;NA;NA;NA;HM216656
Phyla cuneifolia;NA;NA;NA;HM216765;NA;NA;NA;NA;NA;NA;HM216657
Phyla lanceolata;NA;MG218030;HM853861;HM216766;NA;NA;NA;NA;NA;NA;HM216659
Phyla nodiflora;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phyla reptans;NA;NA;NA;HM216767;NA;NA;NA;NA;NA;NA;HM216660
Phyla scaberrima;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phyla stoechadifolia;NA;NA;MH621567;NA;NA;NA;NA;NA;NA;NA;NA
Phyllarthron antongiliense;NA;NA;NA;AY500441;NA;NA;NA;NA;NA;NA;NA
Phyllarthron articulatum;NA;NA;NA;AY500438;NA;NA;NA;NA;NA;NA;EF105079
Phyllopodium dolomiticum;NA;AJ584806;NA;NA;NA;NA;NA;NA;NA;NA;AJ586087
Phyllopodium rustii;NA;KY946179;NA;NA;NA;NA;NA;KY946233;NA;KY946283;KY946184
Phyllostegia ambigua;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235590;KF235644
Phyllostegia electra;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235591;KF235645
Phyllostegia floribunda;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235592;KF235646
Phyllostegia glabra;NA;NA;NA;NA;AF501989;NA;NA;NA;NA;NA;AF502031
Phyllostegia kaalaensis;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235593;KF235648
Phyllostegia kahiliensis;NA;NA;NA;NA;AF501990;NA;NA;NA;NA;KF235594;AF502032
Phyllostegia macrophylla;NA;NA;NA;NA;AF501991;NA;NA;NA;NA;NA;AF502033
Phyllostegia racemosa;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235596;KF235650
Phyllostegia velutina;KU724134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Phyllostegia vestita;NA;NA;NA;NA;NA;NA;NA;NA;NA;KF235598;KF235652
Phyllostegia waimeae;NA;KF529548;NA;NA;NA;NA;NA;NA;NA;KF529661;KF235653
Phyllostegia wawrana;NA;NA;NA;NA;AF501992;NA;NA;NA;NA;NA;AF502034
Physacanthus batanganus;NA;KC420556;NA;NA;NA;NA;NA;NA;NA;KC420534;KC420618
Physopsis chrysophylla;NA;GQ381176;NA;GQ381243;NA;NA;NA;NA;NA;NA;NA
Physopsis spicata;NA;GQ381177;NA;GQ381245;NA;NA;NA;NA;NA;NA;NA
Physostegia angustifolia;NA;NA;HQ911434;NA;NA;NA;NA;NA;NA;NA;EF546942
Physostegia godfreyi;NA;NA;NA;NA;KX397896;NA;NA;NA;NA;NA;EF546947
Physostegia intermedia;NA;NA;HQ911439;NA;NA;NA;NA;NA;NA;FJ854066;EF546949
Physostegia ledinghamii;NA;NA;HQ911435;NA;MG223994;NA;NA;NA;NA;NA;EF546951
Physostegia leptophylla;NA;NA;KJ773003;NA;KJ773746;NA;NA;NA;NA;NA;EF546952
Physostegia parviflora;NA;NA;NA;NA;MG222917;NA;NA;NA;NA;NA;EF546955
Physostegia pulchella;NA;NA;HQ911440;NA;NA;NA;NA;NA;NA;NA;EF546956
Physostegia purpurea;NA;NA;KJ773004;NA;KJ773747;NA;NA;NA;NA;NA;EF546958
Physostegia virginiana;NA;NA;HQ911437;NA;L14405;NA;NA;NA;NA;FJ854067;EF546961
Picconia azorica;MH817937;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Picconia excelsa;MH817938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Picria felterrae;NA;NA;KX526693;NA;KX527262;NA;NA;NA;NA;NA;NA
Picrorhiza kurrooa;NA;AF509813;KJ499921;NA;NA;NA;NA;NA;NA;AY218806;AF486414
Piloblephis rigida;NA;AY506644;NA;NA;KJ773748;NA;NA;NA;NA;NA;GU381584
Pinguicula acuminata;NA;AB199751;DQ010652;NA;NA;NA;NA;NA;LC348618;NA;NA
Pinguicula agnata;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pinguicula albida;NA;MG310268;LC348432;NA;NA;NA;NA;NA;LC348619;NA;NA
Pinguicula alpina;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pinguicula antarctica;NA;AB212096;DQ010653;NA;NA;NA;NA;NA;LC348621;NA;NA
Pinguicula balcanica;NA;AB198342;NA;NA;NA;NA;NA;NA;LC348622;NA;NA
Pinguicula benedicta;NA;AB212097;LC348433;NA;NA;NA;NA;NA;LC348623;NA;NA
Pinguicula bissei;NA;AB212098;LC348434;NA;NA;NA;NA;NA;LC348624;NA;NA
Pinguicula bohemica;NA;AB198343;LC348435;NA;NA;NA;NA;NA;NA;NA;KT124252
Pinguicula caerulea;NA;AB212099;NA;NA;L01942;NA;NA;NA;LC348626;AF482545;AF482619
Pinguicula calyptrata;NA;MG310272;FM200225;NA;NA;NA;NA;NA;LC348627;NA;NA
Pinguicula chilensis;NA;AB212101;NA;NA;NA;NA;NA;NA;LC348628;NA;NA
Pinguicula colimensis;NA;AB199753;LC348436;NA;NA;NA;NA;NA;LC348629;NA;NA
Pinguicula conzattii;NA;NA;LC348437;NA;NA;NA;NA;NA;LC348630;NA;NA
Pinguicula corsica;NA;AB198344;AF531784;NA;NA;NA;NA;NA;LC348631;NA;NA
